id,state,name,_runtime,_step,_timestamp,_wandb,bias/theta_1,bias/theta_2,epoch,train/loss,trainer/global_step,val/loss,l1,l2,lr,smooth,l1_lambda,l1_smooth,l2_lambda,in_features,out_features,optimizer_cls,hidden_features,grad_match_loss_fn
5x9ot2e2,finished,eternal-sweep-126,73.87758898735046,637,1755901554.642969,{'runtime': 74},0.009416728280484676,-4.564600944519043,64,0.0068421815522015095,8099,22.559349060058594,1.0,0.001,0.01,0.01,1.0,0.01,0.001,10,1,Adam,200,mse_loss
5m58v8rs,finished,fearless-sweep-125,83.12606358528137,680,1755901529.0117755,{'runtime': 83},-4.699583053588867,-1.7327823638916016,81,0.007517644204199314,10249,22.843265533447266,1.0,0.0001,0.01,1e-06,1.0,1e-06,0.0001,10,1,Adam,200,mse_loss
do11iqvp,finished,woven-sweep-124,110.86546063423155,803,1755901555.6338875,{'runtime': 111},-5.02274751663208,-1.7354625463485718,164,0.04585020989179611,20599,22.873512268066406,1.0,0.0001,0.01,1e-05,1.0,1e-05,0.0001,10,1,Adam,200,mse_loss
i0mwa5k1,finished,worthy-sweep-123,82.12730598449707,680,1755901505.100684,{'runtime': 82},-2.382079601287842,-1.81471848487854,81,0.00800243765115738,10249,22.627700805664062,1.0,0.0001,0.01,0.0001,1.0,0.0001,0.0001,10,1,Adam,200,mse_loss
evrq4fr1,finished,lyric-sweep-122,75.45243573188782,637,1755901476.7284558,{'runtime': 76},-0.07905206829309464,-4.014316082000732,64,0.00724010169506073,8099,22.607418060302734,1.0,0.0001,0.01,0.001,1.0,0.001,0.0001,10,1,Adam,200,mse_loss
7xmvzz9n,finished,sleek-sweep-121,73.15246272087097,637,1755901467.5781958,{'runtime': 73},0.009730891324579716,-4.592784881591797,64,0.006855746731162071,8099,22.499080657958984,1.0,0.0001,0.01,0.01,1.0,0.01,0.0001,10,1,Adam,200,mse_loss
clg63atr,finished,comic-sweep-120,78.9057388305664,454,1755901461.1681588,{'runtime': 79},-7.501064300537109,0.21106956899166107,153,0.0003934848355129361,19249,144.1270751953125,0.1,10.0,0.01,1e-06,0.1,1e-06,10.0,10,1,Adam,200,mse_loss
bjf7b2ta,finished,firm-sweep-119,78.48882937431335,454,1755901459.4563785,{'runtime': 79},-7.591907978057861,1.2114787101745603,153,0.0003692235623020679,19249,144.1223602294922,0.1,10.0,0.01,1e-05,0.1,1e-05,10.0,10,1,Adam,200,mse_loss
bf8fctti,finished,dashing-sweep-118,57.11922597885132,344,1755901421.367441,{'runtime': 57},-5.5367512702941895,2.302485704421997,109,0.016927538439631462,13749,144.11526489257812,0.1,10.0,0.01,0.0001,0.1,0.0001,10.0,10,1,Adam,200,mse_loss
td5jvyss,finished,eager-sweep-117,59.3613395690918,344,1755901422.4945676,{'runtime': 60},-1.752005696296692,-1.7510231733322144,109,0.0167754665017128,13749,144.11505126953125,0.1,10.0,0.01,0.001,0.1,0.001,10.0,10,1,Adam,200,mse_loss
bqm80yl2,finished,quiet-sweep-116,58.71549725532532,344,1755901401.792143,{'runtime': 59},-1.586795210838318,-1.586062788963318,109,0.016775596886873245,13749,144.1149139404297,0.1,10.0,0.01,0.01,0.1,0.01,10.0,10,1,Adam,200,mse_loss
k6jy6wby,finished,magic-sweep-115,71.78591346740723,559,1755901378.8465185,{'runtime': 72},-5.073427677154541,0.05876678600907326,79,0.027937041595578194,9999,44.012638092041016,0.1,1.0,0.01,1e-06,0.1,1e-06,1.0,10,1,Adam,200,mse_loss
hc56iv27,finished,sunny-sweep-114,70.14478492736816,559,1755901373.793295,{'runtime': 70},-5.073995113372803,0.05872781574726105,79,0.02793843299150467,9999,44.00831985473633,0.1,1.0,0.01,1e-05,0.1,1e-05,1.0,10,1,Adam,200,mse_loss
7eo6cfkv,finished,pious-sweep-113,60.914535999298096,509,1755901358.522283,{'runtime': 61},-3.656086683273315,0.11241967976093292,59,0.13096630573272705,7499,43.985225677490234,0.1,1.0,0.01,0.0001,0.1,0.0001,1.0,10,1,Adam,200,mse_loss
1f8kzot6,finished,summer-sweep-112,60.82302141189575,509,1755901357.6107664,{'runtime': 61},-2.353062391281128,0.0651112049818039,59,0.13083936274051666,7499,43.974796295166016,0.1,1.0,0.01,0.001,0.1,0.001,1.0,10,1,Adam,200,mse_loss
rvyqfgu8,finished,dutiful-sweep-111,62.24893045425415,509,1755901340.1876955,{'runtime': 62},-2.3361799716949463,0.06680270284414291,59,0.1325981318950653,7499,44.067161560058594,0.1,1.0,0.01,0.01,0.1,0.01,1.0,10,1,Adam,200,mse_loss
dq96g575,finished,avid-sweep-110,121.8447892665863,1026,1755901342.4215152,{'runtime': 122},-6.63344669342041,-1.9628595113754272,130,0.005719582084566355,16349,7.704035758972168,0.1,0.1,0.01,1e-06,0.1,1e-06,0.1,10,1,Adam,200,mse_loss
zv4edj68,finished,stoic-sweep-109,126.75459003448486,1026,1755901317.843247,{'runtime': 127},-6.633621692657471,-1.9628649950027464,130,0.0057197255082428455,16349,7.702920913696289,0.1,0.1,0.01,1e-05,0.1,1e-05,0.1,10,1,Adam,200,mse_loss
66ajd2dw,finished,happy-sweep-108,95.2481541633606,866,1755901284.1878502,{'runtime': 96},-4.365893363952637,-1.9479000568389893,66,0.004837470594793558,8349,7.682754516601563,0.1,0.1,0.01,0.0001,0.1,0.0001,0.1,10,1,Adam,200,mse_loss
tozybuce,finished,happy-sweep-107,97.8116536140442,866,1755901284.9477596,{'runtime': 98},-2.278768539428711,-2.1435394287109375,66,0.004693205934017897,8349,7.68093204498291,0.1,0.1,0.01,0.001,0.1,0.001,0.1,10,1,Adam,200,mse_loss
uk1rg9oc,finished,rural-sweep-106,95.55576753616332,866,1755901279.8170466,{'runtime': 96},-2.0639920234680176,-2.205275058746338,66,0.004626704379916191,8349,7.67017650604248,0.1,0.1,0.01,0.01,0.1,0.01,0.1,10,1,Adam,200,mse_loss
ry5e6n4g,finished,fast-sweep-105,104.99571871757507,801,1755901271.4535148,{'runtime': 105},-5.890524864196777,-2.8097190856933594,131,0.006901106797158718,16499,4.649837017059326,0.1,0.01,0.01,1e-06,0.1,1e-06,0.01,10,1,Adam,200,mse_loss
84tkqu6h,finished,lemon-sweep-104,106.45568108558656,801,1755901255.151937,{'runtime': 106},-5.896456718444824,-2.812743902206421,131,0.0069037918001413345,16499,4.652667999267578,0.1,0.01,0.01,1e-05,0.1,1e-05,0.01,10,1,Adam,200,mse_loss
ciuqtzsb,finished,dashing-sweep-103,102.65365958213806,801,1755901196.6091635,{'runtime': 103},-3.466941595077514,-2.956920862197876,131,0.006815102882683277,16499,4.630194187164307,0.1,0.01,0.01,0.0001,0.1,0.0001,0.01,10,1,Adam,200,mse_loss
3nf0dtiz,finished,vital-sweep-102,106.0788676738739,801,1755901171.8880866,{'runtime': 106},-1.879110336303711,-4.036670684814453,131,0.0064188106916844845,16499,4.63044548034668,0.1,0.01,0.01,0.001,0.1,0.001,0.01,10,1,Adam,200,mse_loss
yrsnj5je,finished,clean-sweep-101,105.42761516571044,801,1755901169.6109142,{'runtime': 105},-1.73218035697937,-4.430187702178955,131,0.006398713681846857,16499,4.609104633331299,0.1,0.01,0.01,0.01,0.1,0.01,0.01,10,1,Adam,200,mse_loss
ijm4pyre,finished,golden-sweep-100,105.3711907863617,909,1755901167.0455987,{'runtime': 105},-5.222126483917236,-3.696159601211548,83,0.0131244333460927,10499,3.2931365966796875,0.1,0.001,0.01,1e-06,0.1,1e-06,0.001,10,1,Adam,200,mse_loss
jm2banwo,finished,generous-sweep-99,102.61518454551695,909,1755901162.6618505,{'runtime': 103},-5.2221784591674805,-3.6938745975494385,83,0.01314422395080328,10499,3.292163372039795,0.1,0.001,0.01,1e-05,0.1,1e-05,0.001,10,1,Adam,200,mse_loss
ih6k1gjc,finished,honest-sweep-98,103.51823329925536,909,1755901146.4349532,{'runtime': 104},-4.238324165344238,-3.766401052474976,83,0.013002509251236916,10499,3.273749351501465,0.1,0.001,0.01,0.0001,0.1,0.0001,0.001,10,1,Adam,200,mse_loss
sgd00p0m,finished,sunny-sweep-97,104.61525058746338,909,1755901122.5320835,{'runtime': 105},-2.338068962097168,-4.673980236053467,83,0.011887318454682829,10499,3.2704415321350098,0.1,0.001,0.01,0.001,0.1,0.001,0.001,10,1,Adam,200,mse_loss
fl56hb7x,finished,breezy-sweep-96,100.67529225349426,909,1755901071.0484962,{'runtime': 101},-2.232084035873413,-4.792628765106201,83,0.011824547313153744,10499,3.253753423690796,0.1,0.001,0.01,0.01,0.1,0.01,0.001,10,1,Adam,200,mse_loss
j99mvcdh,finished,pious-sweep-95,103.87787437438963,909,1755901045.0681057,{'runtime': 104},-5.223308086395264,-3.758470058441162,83,0.013235208578407764,10499,3.2280421257019043,0.1,0.0001,0.01,1e-06,0.1,1e-06,0.0001,10,1,Adam,200,mse_loss
8ubpjrfe,finished,chocolate-sweep-94,103.88653922080994,909,1755901043.2031393,{'runtime': 104},-5.222099304199219,-3.758284568786621,83,0.013228901661932468,10499,3.228820323944092,0.1,0.0001,0.01,1e-05,0.1,1e-05,0.0001,10,1,Adam,200,mse_loss
3y3j4laa,finished,vague-sweep-93,103.0062849521637,909,1755901037.4523048,{'runtime': 103},-4.240829944610596,-3.833683967590332,83,0.0131037263199687,10499,3.2088778018951416,0.1,0.0001,0.01,0.0001,0.1,0.0001,0.0001,10,1,Adam,200,mse_loss
pnk3xfs7,finished,quiet-sweep-92,105.15905952453612,909,1755901038.2455266,{'runtime': 105},-2.370587110519409,-4.731016635894775,83,0.012001377530395985,10499,3.206054925918579,0.1,0.0001,0.01,0.001,0.1,0.001,0.0001,10,1,Adam,200,mse_loss
