function_class,depth,width,noise_std,l2_lambda,runs,mean_abs_error,std_abs_error,median_rel_error,mean_rel_error
polynomial,1,256,0.1,1.0,1,40.76382827758789,,40.76382827758789,40.76382827758789
polynomial,1,256,0.5,0.0001,1,40.763827459716794,,407638.2745971679,407638.2745971679
polynomial,1,256,0.5,0.001,1,40.76382772827149,,40763.827728271484,40763.827728271484
polynomial,1,256,0.5,0.01,1,40.763826599121096,,4076.3826599121094,4076.3826599121094
polynomial,1,256,0.5,0.1,1,40.76382675170898,,407.6382675170898,407.6382675170898
polynomial,1,256,0.5,1.0,1,40.76382827758789,,40.76382827758789,40.76382827758789
polynomial,3,64,0.1,0.001,1,3.851274656295777,,3851.274656295776,3851.274656295776
polynomial,3,64,0.1,0.01,1,3.8496735000610354,,384.9673500061035,384.9673500061035
polynomial,3,64,0.1,0.1,1,3.8501080513000487,,38.50108051300049,38.50108051300049
polynomial,3,64,0.1,1.0,1,3.845323085784912,,3.845323085784912,3.845323085784912
polynomial,3,64,0.5,0.0001,1,3.8457385467529295,,38457.38546752929,38457.38546752929
polynomial,3,64,0.5,0.001,1,3.8521882762908937,,3852.1882762908936,3852.1882762908936
polynomial,3,64,0.5,0.01,1,3.851207962036133,,385.1207962036133,385.1207962036133
polynomial,3,64,0.5,0.1,1,3.850995922088623,,38.50995922088623,38.50995922088623
polynomial,3,64,0.5,1.0,1,3.8482823371887207,,3.8482823371887207,3.8482823371887207
polynomial,3,128,0.1,0.0001,1,5.411533968353272,,54115.339683532715,54115.339683532715
polynomial,3,128,0.1,0.001,1,5.413936542510986,,5413.936542510986,5413.936542510986
polynomial,3,128,0.1,0.01,1,5.404798259735108,,540.4798259735107,540.4798259735107
polynomial,3,128,0.1,0.1,1,5.399564647674561,,53.995646476745605,53.995646476745605
polynomial,3,128,0.1,1.0,1,5.375582218170166,,5.375582218170166,5.375582218170166
polynomial,3,128,0.5,0.0001,1,5.41038812866211,,54103.881286621094,54103.881286621094
polynomial,3,128,0.5,0.001,1,5.406924175262451,,5406.924175262451,5406.924175262451
